,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Type,Date Collected,UUID
59,1.523,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03,1,10/10/09,12e39f
60,1.51719,14.75,0.0,2.0,73.02,0.0,8.53,1.59,0.0,7,20/02/08,f24def
61,1.51776,13.53,,1.52,72.04,0.58,8.79,0.0,0.0,3,08/04/17,e9d7b7
62,1.51589,12.88,,0.0,73.28,0.0,8.05,0.0,0.24,1,28/05/12,e059d8
63,1.51966,14.77,3.75,0.29,72.02,0.0,9.0,0.0,0.0,1,08/07/94,a48e46
64,0.0,12.89,3.62,1.57,72.96,0.61,,0.0,0.0,2,17/11/97,9e3a55
65,1.51321,13.0,,3.02,70.7,6.21,0.0,0.0,0.0,5,22/10/90,120f67
66,1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0.0,0.21,2,04/06/08,1052bc
67,1.52127,14.32,3.9,,71.5,0.0,9.49,0.0,0.0,3,07/02/10,dd38fe
68,1.51755,13.0,3.6,1.36,72.99,0.57,8.4,,0.11,1,15/03/00,127a80
